,www:ID,author:string[],author-bibtex:string[],cite:string[],crossref:string,editor:string[],ee:string,key:string,mdate:date,note:string[],note-label:string[],note-type:string[],publtype:string,title:string[],url:string[],url-type:string[],year:int
40115,"1031589,3929939,Takatoshi Minamoto,,,,,,homepages/21/10252,2011-09-30,,,,,Home Page,,,",,,,,,,,,,,,,,,,
174154,"1045757,3944107,Baxter Bramblett,,,,,,homepages/196/1415,2017-03-09,,,,,Home Page,,,",,,,,,,,,,,,,,,,
179622,"1735759,4634109,Patricia Wollstadt,,,,,,homepages/140/7247,2022-02-15,""Goethe University Frankfurt, Frankfurt am Main, Germany"",,affiliation,,Home Page,https://github.com/pwollstadt|https://orcid.org/0000-0002-7105-5207|https://www.wikidata.org/entity/Q59677656,,",,,,,,,,,,,,,,,,
212623,"1725590,4623940,Walter C. K. Wong,,,,,,homepages/87/5087,2009-06-10,,,,,Home Page,,,",,,,,,,,,,,,,,,,
281530,"741899,3640249,María Pilar Alguacil Mari,,,,,,homepages/181/9750,2016-06-28,,,,,Home Page,,,",,,,,,,,,,,,,,,,
51589,"2141752,5040102,Chris Borckholder,,,,,,homepages/131/8053,2013-07-03,,,,,Home Page,,,",,,,,,,,,,,,,,,,
289843,"2800453,5698803,Wataru Furusho,,,,,,homepages/207/4797,2017-10-25,,,,,Home Page,,,",,,,,,,,,,,,,,,,
87589,"711601,3609951,Bernard Cousin,,,,,,homepages/c/BernardCousin,2022-02-15,""IRISA Rennes, France"",,affiliation,,Home Page,http://www.irisa.fr/prive/bcousin/|https://dl.acm.org/profile/81100205059|https://orcid.org/0000-0002-7287-874X|https://www.scopus.com/authid/detail.uri?authorId=56234829600|https://www.wikidata.org/entity/Q58142063,,",,,,,,,,,,,,,,,,
164291,"1375973,4274323,Alessandro Berni,,,,,,homepages/89/7125,2009-07-03,,,,,Home Page,,,",,,,,,,,,,,,,,,,
8989,"1438089,4336439,B. Mutlu Sumer,,,,,,homepages/133/9529,2013-09-03,,,,,Home Page,,,",,,,,,,,,,,,,,,,
